Continent,Height,Weight
Asia,180.0,80.0
Asia,170.0,60.0
Europe,185.0,82.0
America,188.0,75.0
America,183.0,72.0
Europe,186.0,96.0
Europe,182.0,76.5
Europe,172.0,70.0
Europe,159.0,55.5
Europe,171.0,65.0
Europe,184.0,85.0
Europe,175.0,64.0
Europe,189.0,130.0
Europe,176.0,85.0
Europe,170.0,125.0
Europe,187.0,89.0
Europe,169.0,65.0
Europe,170.0,77.0
Europe,189.0,72.0
Europe,174.0,70.0
Europe,187.0,76.0
Europe,187.0,76.0
Europe,190.0,98.0
Europe,194.0,78.0
Europe,182.0,64.0
Europe,185.0,75.0
Europe,182.0,73.0
Europe,194.0,93.0
Europe,177.0,74.0
Europe,168.0,65.0
Europe,185.0,106.0
Europe,167.0,64.0
Europe,189.0,80.0
Africa,172.0,58.0
Europe,170.0,65.0
Europe,176.0,66.0
Europe,164.0,71.0
Europe,172.0,75.0
Europe,175.0,72.0
Europe,198.0,90.0
Europe,194.0,87.0
Asia,165.0,49.0
Africa,156.0,48.0
Europe,179.0,80.0
America,178.0,76.0
Europe,185.0,72.0
America,167.0,65.0
America,172.0,82.0
Europe,180.0,83.0
Europe,182.0,86.0
America,182.0,73.0
Europe,178.0,70.0
Africa,185.0,82.0
Africa,166.0,75.0
Europe,186.0,83.0
Europe,190.0,77.0
America,183.0,75.0
America,165.0,55.0
Europe,181.0,82.0
Europe,182.0,67.0
Europe,163.0,60.0
Europe,190.0,80.0
Europe,180.0,73.0
Europe,190.0,85.0
Europe,155.0,43.0
America,168.0,60.0
America,180.0,70.0
America,169.0,75.0
Europe,181.0,79.0
Africa,170.0,51.0
Africa,175.0,75.0
Europe,188.0,96.0
Europe,182.0,90.0
Europe,187.0,97.0
Asia,176.0,64.0
Asia,175.0,66.0
Asia,190.0,88.0
Asia,169.0,67.0
Asia,175.0,80.0
Asia,160.0,65.0
Asia,181.0,74.0
Africa,165.0,65.0
Asia,170.0,70.0
Asia,168.0,55.0
Asia,173.0,77.0
Asia,178.0,80.0
Asia,170.0,62.0
Asia,164.0,58.0
Asia,165.0,60.0
Asia,173.0,60.0
Asia,181.0,74.0
Asia,182.0,76.0
Asia,159.0,53.0
Europe,171.0,64.0
Europe,192.0,90.0
Europe,178.0,72.0
Europe,195.0,85.0
Europe,175.0,64.0
Asia,180.0,104.0
America,172.0,80.0
Europe,167.0,58.0
America,183.0,75.0
Oceania,184.0,87.0
Africa,179.0,80.0
America,175.0,70.0
America,160.0,57.0
America,164.0,63.0
America,163.0,52.0
America,185.0,91.0
America,191.0,88.0
Africa,165.0,57.0
Africa,185.0,98.0
Africa,195.0,94.0
Africa,192.0,83.0
Africa,167.0,60.0
Africa,163.0,57.0
Africa,203.0,97.0
America,175.0,56.0
Africa,168.0,57.0
Asia,169.0,68.0
Asia,158.0,49.0
Africa,172.0,61.0
Africa,174.0,70.0
Africa,168.0,68.0
Africa,170.0,69.0
Africa,174.0,69.0
Africa,180.0,56.0
Africa,176.0,73.0
Africa,154.0,48.0
Africa,153.0,46.0
Africa,186.0,100.0
Africa,152.0,52.0
Africa,193.0,82.0
Africa,162.0,57.0
Africa,189.0,85.0
Africa,183.0,76.0
Africa,172.0,68.0
Africa,178.0,67.0
Africa,188.0,92.0
Africa,198.0,80.0
Africa,197.0,87.0
Africa,176.0,74.0
Africa,188.0,79.0
Africa,180.0,120.0
Africa,170.0,60.0
Africa,190.0,83.0
Africa,190.0,95.0
Africa,165.0,48.0
Africa,195.0,95.0
Africa,157.0,48.0
Africa,165.0,57.0
Africa,188.0,89.0
Africa,176.0,60.0
Africa,175.0,81.0
Africa,173.0,77.0
Africa,159.0,51.0
Africa,170.0,58.0
Africa,170.0,94.0
Africa,170.0,70.0
Africa,184.0,68.0
Africa,160.0,46.0
Africa,170.0,60.0
Africa,165.0,60.0
Africa,194.0,96.0
Africa,167.0,63.0
Africa,207.0,90.0
Africa,170.0,63.0
Africa,170.0,63.0
Africa,173.0,60.0
Asia,170.0,80.0
Europe,176.0,56.0
Oceania,178.0,66.0
Asia,177.0,65.0
Africa,170.0,57.0
America,178.0,61.0
Oceania,169.0,74.0
America,173.0,59.0
Asia,183.0,75.0
Africa,176.0,60.0
Africa,185.0,67.0
America,175.0,85.0
Africa,165.0,60.0
Africa,180.0,76.0
Africa,180.0,67.0
Africa,188.0,78.0
Asia,165.0,60.0
Asia,147.0,50.0
Asia,184.0,70.0
Asia,180.0,73.0
Asia,163.0,61.0
Africa,160.0,53.0
Asia,172.0,90.0
Africa,175.0,55.0
Asia,180.0,117.5
Asia,169.0,65.0
Asia,169.0,60.0
Asia,156.0,59.0
Asia,176.0,68.0
Asia,168.0,54.0
Asia,172.0,70.0
Asia,178.0,74.0
Asia,175.0,80.0
Asia,175.0,85.0
Africa,174.0,55.0
Asia,173.0,64.0
Asia,169.0,91.0
Asia,181.0,72.0
Asia,163.0,56.0
Asia,178.0,70.0
Asia,177.0,68.0
Asia,160.0,52.0
Asia,180.0,72.0
Asia,158.0,58.0
Asia,185.0,80.0
Asia,175.0,75.0
Africa,172.0,66.0
America,180.0,59.0
Africa,166.0,61.0
Asia,181.0,73.0
Asia,164.0,55.0
Africa,184.0,79.0
America,187.0,83.0
Asia,176.0,66.0
Asia,165.0,65.0
Asia,188.0,77.0
Africa,190.0,75.0
Asia,188.0,91.0
Asia,164.0,60.0
Asia,169.0,63.0
Asia,190.0,130.0
Asia,167.0,55.0
Asia,170.0,47.0
Asia,175.0,74.0
Africa,162.0,72.0
Asia,168.0,68.0
Asia,168.0,62.0
Africa,170.0,59.0
Asia,150.0,60.0
Asia,181.0,66.0
Asia,178.0,74.0
Africa,162.0,69.0
America,202.0,104.0
Asia,178.0,73.0
Asia,183.0,74.0
Asia,172.0,74.0
Asia,192.0,117.0
Europe,172.0,60.0
Asia,170.0,84.0
Africa,179.0,76.0
Asia,190.0,125.0
Asia,174.0,72.0
Asia,162.0,54.0
Asia,177.0,75.0
Asia,178.0,67.0
Asia,166.0,69.0
Asia,168.0,68.0
Asia,167.0,62.0
Asia,175.0,64.0
Asia,173.0,68.0
Asia,178.0,70.0
Asia,179.0,91.0
Asia,166.0,57.0
Asia,190.0,80.0
Asia,170.0,60.0
Asia,168.0,60.0
Asia,175.0,67.0
Asia,177.0,75.0
Africa,160.0,50.0
Africa,173.0,62.0
Africa,170.0,51.0
Asia,180.0,83.0
America,194.0,92.0
Europe,169.0,48.0
America,190.0,73.0
America,163.0,52.0
America,185.0,102.0
America,160.0,62.0
Europe,165.0,55.0
Europe,163.0,46.0
Europe,184.0,85.0
Asia,153.0,48.0
America,176.0,66.0
Europe,174.0,63.0
Africa,173.0,61.0
Africa,166.0,58.0
Africa,192.0,68.0
America,186.0,84.0
Europe,181.0,76.0
Europe,181.0,78.0
Europe,190.0,73.0
Europe,170.0,60.0
Europe,181.0,78.0
Africa,187.0,75.0
America,165.0,75.0
America,182.0,84.0
Europe,173.0,66.0
Asia,159.0,40.0
Asia,160.0,53.0
Asia,180.0,74.0
Asia,166.0,52.0
Africa,180.0,80.0
Europe,177.0,68.0
Europe,179.0,63.0
Africa,179.0,72.0
Asia,160.0,78.0
Asia,169.0,62.0
Asia,173.0,53.0
Africa,162.0,56.0
Europe,172.0,82.0
Europe,168.0,60.0
Africa,159.0,54.0
Africa,170.0,68.0
Africa,159.0,54.0
Europe,150.0,43.0
Europe,164.0,58.0
Asia,163.0,48.0
America,175.0,75.0
Europe,169.0,68.0
America,182.0,68.0
Europe,161.0,62.0
Europe,174.0,62.0
Africa,182.0,78.0
Africa,176.0,70.0
Africa,170.0,53.0
Africa,175.0,61.0
Europe,169.0,60.0
Europe,166.0,60.0
Asia,168.0,59.0
Oceania,197.0,92.0
Africa,210.0,88.0
Africa,186.0,86.0
Africa,188.0,85.0
Africa,205.0,102.0
Africa,168.0,54.0
Africa,181.0,76.0
Asia,182.0,79.0
Africa,187.0,82.0
Asia,170.0,48.0
Africa,171.0,65.0
Asia,190.0,65.0
Asia,170.0,51.0
Africa,175.0,75.0
Africa,178.0,67.0
Africa,180.0,64.0
Africa,183.0,85.0
Africa,188.0,87.0
Africa,178.0,81.0
Africa,182.0,77.0
Africa,193.0,78.0
America,174.0,68.0
Europe,186.0,84.0
Europe,192.0,88.0
Europe,175.0,64.0
America,170.0,62.0
Europe,178.0,61.0
Asia,167.0,53.0
Europe,180.0,70.0
Europe,191.0,84.0
Africa,178.0,68.0
America,179.0,72.0
America,173.0,65.0
Europe,183.0,75.0
Europe,183.0,87.0
America,162.0,67.0
America,190.0,88.0
Europe,187.0,77.0
Europe,172.0,61.0
Europe,180.0,72.0
Europe,185.0,81.0
America,193.0,87.0
Asia,176.0,82.0
Europe,182.0,95.0
Europe,180.0,82.0
Europe,181.0,80.0
Asia,167.0,43.0
Europe,175.0,70.0
Asia,181.0,84.0
Europe,176.0,70.0
Europe,198.0,89.0
Europe,180.0,94.0
Europe,167.0,65.0
Europe,180.0,72.0
Europe,182.0,96.0
America,163.0,53.0
America,180.0,70.0
Asia,186.0,115.0
Europe,176.0,68.0
Europe,183.0,72.0
Europe,174.0,68.0
Europe,187.0,81.0
Europe,172.0,70.0
Europe,184.0,73.0
Europe,183.0,84.0
Europe,183.0,73.0
America,160.0,54.0
America,185.0,75.0
Europe,159.0,64.0
Africa,188.0,73.0
America,176.0,78.0
America,200.0,88.0
America,177.0,71.0
Europe,177.0,64.0
Europe,174.0,68.0
America,164.0,52.0
America,162.0,50.0
Europe,198.0,93.0
Africa,180.0,70.0
Europe,164.0,51.0
Europe,188.0,77.0
Europe,180.0,68.0
Africa,168.0,62.0
America,180.0,59.0
Europe,178.0,85.0
Europe,179.0,68.0
Asia,160.0,57.0
Asia,173.0,74.0
Asia,180.0,79.0
Asia,168.0,67.0
Asia,180.0,76.0
Asia,172.0,72.0
Asia,178.0,69.0
Asia,165.0,54.0
Africa,172.0,63.0
Asia,157.0,52.0
Asia,182.0,75.0
Africa,170.0,59.0
Africa,150.0,64.0
America,190.0,80.0
America,182.0,77.0
Asia,178.0,68.0
Africa,170.0,58.0
Asia,148.0,46.0
Asia,170.0,67.0
Asia,183.0,68.0
Asia,180.0,70.0
America,177.0,72.0
Asia,163.0,65.0
Asia,163.0,51.0
America,161.0,60.0
Asia,168.0,56.0
Asia,181.0,77.0
Asia,185.0,80.0
Europe,175.0,56.0
Asia,170.0,78.0
Europe,175.0,67.0
Europe,150.0,40.0
Europe,194.0,125.0
Europe,194.0,104.0
Europe,170.0,62.0
Europe,176.0,82.0
America,190.0,95.0
America,167.0,58.0
Europe,190.0,74.0
America,160.0,55.0
America,176.0,67.0
America,171.0,70.0
America,175.0,65.0
America,182.0,68.0
America,179.0,65.0
America,166.0,70.0
America,170.0,61.0
America,158.0,52.0
America,165.0,64.0
Europe,178.0,73.0
Asia,165.0,68.0
Europe,175.0,64.0
America,169.0,60.0
Asia,178.0,78.0
Europe,164.0,50.0
Asia,186.0,85.0
Europe,208.0,110.0
Europe,180.0,68.0
Africa,161.0,62.0
Africa,163.0,54.0
Africa,181.0,73.0
Europe,176.0,75.0
Africa,167.0,52.0
Africa,165.0,54.0
Africa,174.0,57.0
Europe,188.0,75.0
Europe,182.0,98.0
Europe,183.0,87.0
Africa,167.0,52.0
Africa,168.0,55.0
America,190.0,86.0
Africa,191.0,110.0
Africa,176.0,45.0
Africa,177.0,82.0
Africa,184.0,84.0
Europe,171.0,62.0
Europe,172.0,72.0
Africa,159.0,55.0
Africa,166.0,61.0
Africa,167.0,55.0
America,179.0,78.0
Oceania,179.0,68.0
Europe,173.0,74.0
Europe,191.0,75.0
Europe,184.0,69.0
Europe,180.0,70.0
Europe,190.0,99.0
Europe,200.0,104.0
Europe,180.0,83.0
America,169.0,52.0
America,175.0,74.0
America,180.0,81.0
America,173.0,73.0
America,160.0,62.0
America,168.0,72.0
America,185.0,61.0
America,180.0,73.0
America,164.0,63.0
America,172.0,69.0
America,188.0,91.0
America,188.0,78.0
America,190.0,62.0
America,182.0,70.0
Europe,184.0,70.0
Africa,188.0,82.0
Africa,177.0,82.0
Africa,178.0,72.0
America,168.0,63.0
America,188.0,66.0
America,192.0,89.0
America,173.0,50.0
America,208.0,109.0
Asia,177.0,75.0
Europe,162.0,60.0
Asia,156.0,56.0
Asia,179.0,60.0
Asia,162.0,51.0
Asia,165.0,58.0
Asia,172.0,67.0
Asia,168.0,67.0
Asia,156.0,51.0
Oceania,187.0,81.0
Asia,186.0,100.0
America,189.0,105.0
Africa,162.0,60.0
Europe,202.0,105.0
Africa,190.0,80.0
America,180.0,71.0
Africa,178.0,79.0
Africa,172.0,70.0
Europe,162.0,54.0
Europe,182.0,82.0
America,175.0,95.0
Africa,173.0,71.0
Africa,175.0,80.0
Europe,169.0,61.0
Africa,154.0,64.0
Africa,175.0,82.0
Europe,175.0,73.0
Europe,179.0,78.0
Europe,173.0,80.0
Europe,190.0,83.0
America,160.0,52.0
Europe,173.0,62.0
Europe,176.0,74.0
Europe,171.0,69.5
Europe,172.0,68.0
Europe,175.0,71.0
Asia,190.0,80.0
Africa,172.0,72.0
Europe,173.0,64.0
America,163.0,54.0
Europe,177.0,70.0
Europe,165.0,54.0
America,180.0,79.0
America,188.0,78.0
Europe,183.0,67.0
America,173.0,65.0
Africa,188.0,79.0
America,169.0,68.0
Oceania,177.0,70.0
America,178.0,95.0
America,167.0,75.0
Oceania,178.0,64.0
Oceania,189.0,70.0
Europe,194.0,87.0
Europe,174.0,73.0
Oceania,169.0,68.0
Europe,178.0,78.0
Europe,164.0,51.0
America,171.0,59.0
Oceania,185.0,98.0
Oceania,163.0,93.0
America,188.0,78.0
America,188.0,81.0
America,170.0,56.0
America,188.0,85.0
Europe,164.0,69.0
America,198.0,93.0
Oceania,193.0,120.0
Europe,181.0,84.0
Europe,179.0,74.0
Europe,189.0,87.0
Europe,171.0,58.0
Europe,177.0,68.0
America,177.0,72.0
America,183.0,74.0
Europe,171.0,65.0
Africa,170.0,81.0
Europe,185.0,94.0
Europe,166.0,57.0
Asia,160.0,49.0
Africa,165.0,59.0
Asia,180.0,75.0
Europe,183.0,80.0
Oceania,178.0,72.0
Europe,168.0,55.0
Africa,178.0,78.0
Africa,179.0,70.0
Europe,181.0,70.0
Europe,195.0,115.0
Europe,164.0,56.0
Africa,170.0,65.0
Europe,177.0,75.0
Africa,182.0,81.0
Africa,180.0,79.0
Africa,170.0,67.0
Europe,191.0,76.0
Africa,178.0,70.0
Africa,183.0,75.0
Africa,188.0,88.0
Africa,161.0,58.0
Europe,185.0,75.0
Europe,170.0,60.0
Africa,162.0,92.0
Africa,181.0,82.0
Africa,181.0,66.0
Africa,186.0,77.0
Asia,166.0,63.0
Africa,140.0,48.0
Africa,169.0,53.0
America,163.0,52.0
Europe,163.0,52.0
Europe,213.0,135.0
Asia,185.0,90.0
Africa,190.0,80.0
Europe,177.0,70.0
Europe,178.0,65.0
Europe,175.0,67.0
Africa,168.0,58.0
Africa,177.0,85.0
Europe,202.0,91.0
America,179.0,74.0
Africa,180.0,47.0
Africa,178.0,75.0
Africa,176.0,69.0
Africa,180.0,68.0
Africa,186.0,78.0
Africa,165.0,58.0
America,187.0,65.0
Africa,177.0,70.0
Europe,162.0,65.0
Europe,166.0,60.0
Africa,170.0,50.0
Africa,174.0,71.0
Africa,162.0,65.0
America,173.0,74.0
Asia,163.0,69.0
Africa,176.0,74.0
Africa,153.0,52.0
Asia,168.0,66.0
Africa,168.0,58.0
Africa,177.0,73.0
Africa,176.0,65.0
America,195.0,88.0
Africa,185.0,63.0
Asia,165.0,58.0
Africa,162.0,50.0
Europe,180.0,70.0
Asia,165.0,65.0
Europe,190.0,110.0
Africa,168.0,56.0
Africa,175.0,80.0
America,173.0,61.0
America,188.0,80.0
America,188.0,80.0
America,186.0,80.0
America,180.0,72.0
Europe,172.0,62.0
Europe,162.0,56.0
Europe,182.0,77.0
Europe,153.0,38.0
America,177.0,70.0
Europe,179.0,70.0
Europe,177.0,62.0
Africa,194.0,82.0
Africa,174.0,62.0
Europe,165.0,53.0
Africa,177.0,65.0
Asia,173.0,81.0
Africa,168.0,77.5
Africa,173.0,61.0
Oceania,168.0,59.0
Europe,165.0,56.0
Europe,182.0,72.0
Europe,183.0,81.0
Europe,180.0,77.0
Europe,180.0,74.0
Europe,202.0,100.0
Europe,175.0,55.0
Africa,170.0,69.0
Europe,162.0,56.0
Europe,204.0,100.0
Africa,182.0,93.0
Europe,192.0,83.0
Asia,187.0,77.0
Europe,180.0,64.0
America,160.0,51.0
America,190.0,91.0
Africa,160.0,55.0
Africa,167.0,68.0
America,198.0,100.0
Africa,168.0,57.0
Asia,151.0,52.0
America,180.0,61.0
Europe,185.0,95.0
America,170.0,65.0
America,180.0,96.0
Europe,189.0,87.0
Europe,173.0,72.0
Europe,173.0,65.0
America,170.0,66.0
America,165.0,64.0
Asia,185.0,82.0
Europe,190.0,82.0
Asia,154.0,52.0
Asia,160.0,55.0
Asia,190.0,80.0
Asia,192.0,65.0
Europe,175.0,69.0
Europe,190.0,90.0
Oceania,170.0,59.0
Europe,180.0,98.0
Europe,170.0,58.0
Europe,186.0,85.0
Europe,180.0,95.0
Europe,189.0,82.0
Europe,181.0,93.0
Europe,175.0,75.0
Europe,191.0,86.0
Europe,177.0,80.0
Europe,162.0,51.0
Europe,182.0,68.0
Europe,182.0,64.0
Europe,178.0,67.0
Europe,166.0,50.0
Europe,173.0,64.0
Europe,186.0,86.0
Europe,186.0,86.0
Asia,188.0,82.0
America,175.0,68.0
Europe,187.0,80.0
Europe,158.0,48.0
Europe,164.0,56.0
Africa,175.0,74.0
Asia,182.0,70.0
Africa,169.0,54.0
Europe,186.0,74.0
Europe,187.0,87.0
Asia,180.0,82.0
Africa,168.0,58.0
Africa,194.0,92.0
Africa,163.0,54.0
Europe,183.0,88.0
Asia,184.0,77.0
Oceania,162.0,60.0
Africa,180.0,62.0
Europe,190.0,85.0
Africa,176.0,80.0
Europe,171.0,62.0
Europe,178.0,70.0
Africa,175.0,75.0
Africa,165.0,52.0
Europe,194.0,103.0
Europe,188.0,88.0
Asia,172.0,69.0
Asia,169.0,78.0
Asia,173.0,76.0
Africa,193.0,104.0
Europe,175.0,75.0
Europe,148.0,40.0
Asia,190.0,86.0
Africa,160.0,50.0
Africa,193.0,82.0
Europe,187.0,93.0
Asia,158.0,51.0
Europe,173.0,59.0
America,170.0,55.0
America,182.0,72.0
America,195.0,96.0
America,180.0,80.0
Africa,180.0,72.0
Asia,186.0,96.0
Asia,168.0,62.0
Europe,178.0,73.0
Africa,179.0,74.0
Africa,159.0,54.0
Africa,185.0,80.0
Europe,164.0,66.0
America,193.0,97.0
Africa,167.0,66.0
Europe,184.0,66.0
Asia,163.0,61.0
Asia,166.0,72.0
America,170.0,66.0
America,180.0,79.0
Europe,163.0,55.0
Europe,180.0,69.0
Africa,167.0,55.0
Asia,170.0,67.0
Africa,175.0,66.0
Africa,180.0,74.0
Europe,186.0,90.0
Europe,176.0,82.0
Europe,194.0,78.0
Europe,187.0,78.0
Asia,177.0,84.0
Africa,173.0,75.0
Asia,160.0,51.0
Asia,193.0,75.0
Africa,190.0,83.0
Europe,177.0,63.0
Europe,170.0,61.0
Europe,168.0,65.0
Africa,172.0,58.0
Africa,171.0,62.0
Europe,175.0,75.0
Europe,202.0,90.0
Europe,165.0,64.0
Africa,182.0,82.0
America,175.0,79.0
Europe,173.0,60.0
America,168.0,67.0
Europe,174.0,64.0
Europe,173.0,68.0
America,171.0,66.0
Oceania,184.0,84.0
America,178.0,75.0
Europe,179.0,64.0
Europe,164.0,62.0
America,194.0,78.0
Europe,168.0,70.0
Europe,178.0,76.0
Asia,168.0,70.0
America,191.0,80.0
Europe,166.0,52.0
Europe,176.0,74.0
America,181.0,76.0
Africa,175.0,70.0
Europe,173.0,64.0
America,179.0,57.0
Asia,170.0,59.0
America,189.0,82.0
America,163.0,55.0
Africa,180.0,72.0
America,165.0,60.0
America,191.0,78.0
America,172.0,74.0
America,175.0,70.0
Africa,172.0,67.0
Europe,175.0,62.0
America,190.0,90.0
America,167.0,64.0
Africa,171.0,51.0
America,191.0,82.0
America,192.0,80.0
America,194.0,80.0
Europe,165.0,50.0
America,178.0,72.0
Europe,179.0,77.0
Europe,173.0,71.0
Europe,172.0,75.0
